C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
122.5 	54.0 	47.1 	0.0 	-1.9 	0.0 	177.7 	60.7 	0.0 	-8.9 	0.0 	216.1 	0.0 	-31.4 	0.0 	67.4 	0.0 	6.1 	39.7 	0.0 	40.9 	
123.7 	53.4 	47.9 	0.0 	-1.8 	0.0 	179.0 	60.7 	0.0 	-9.6 	0.0 	216.3 	0.0 	-30.9 	0.0 	67.3 	0.0 	6.0 	39.7 	0.0 	40.6 	
123.0 	55.1 	47.0 	0.0 	-2.2 	0.0 	179.1 	61.0 	0.0 	-9.8 	0.0 	217.6 	0.0 	-30.8 	0.0 	67.6 	0.0 	6.3 	39.8 	0.0 	40.8 	
122.9 	52.3 	47.6 	0.0 	-2.1 	0.0 	177.7 	61.2 	0.0 	-8.9 	0.0 	217.1 	0.0 	-31.2 	0.0 	67.2 	0.0 	6.3 	40.0 	0.0 	40.6 	
122.6 	52.7 	48.2 	0.0 	-2.2 	0.0 	178.9 	61.2 	0.0 	-10.2 	0.0 	216.6 	0.0 	-31.0 	0.0 	67.3 	0.0 	6.5 	39.6 	0.0 	41.0 	
123.0 	52.1 	47.7 	0.0 	-2.0 	0.0 	178.1 	60.3 	0.0 	-9.1 	0.0 	216.3 	0.0 	-30.8 	0.0 	67.7 	0.0 	6.6 	40.0 	0.0 	40.8 	
123.2 	52.3 	47.2 	0.0 	-1.8 	0.0 	178.4 	61.5 	0.0 	-9.8 	0.0 	216.3 	0.0 	-30.8 	0.0 	67.6 	0.0 	5.8 	39.5 	0.0 	40.7 	
122.4 	53.2 	47.9 	0.0 	-2.3 	0.0 	178.2 	60.9 	0.0 	-10.3 	0.0 	216.8 	0.0 	-31.1 	0.0 	67.2 	0.0 	6.3 	39.7 	0.0 	40.7 	
122.4 	51.7 	47.7 	0.0 	-2.0 	0.0 	178.4 	61.0 	0.0 	-9.4 	0.0 	215.7 	0.0 	-31.2 	0.0 	67.5 	0.0 	6.4 	39.7 	0.0 	40.5 	
121.7 	52.5 	47.4 	0.0 	-2.0 	0.0 	177.5 	60.0 	0.0 	-9.5 	0.0 	216.8 	0.0 	-30.7 	0.0 	67.3 	0.0 	6.1 	39.6 	0.0 	40.8 	
122.7 	53.3 	46.9 	0.0 	-1.7 	0.0 	178.2 	60.7 	0.0 	-9.7 	0.0 	216.3 	0.0 	-31.0 	0.0 	67.8 	0.0 	6.3 	39.7 	0.0 	40.9 	
122.7 	51.7 	46.9 	0.0 	-2.0 	0.0 	178.6 	61.0 	0.0 	-9.5 	0.0 	216.8 	0.0 	-31.3 	0.0 	67.2 	0.0 	6.3 	39.6 	0.0 	40.9 	
123.3 	51.6 	47.8 	0.0 	-2.0 	0.0 	178.9 	60.5 	0.0 	-8.6 	0.0 	216.6 	0.0 	-31.4 	0.0 	67.3 	0.0 	6.1 	39.4 	0.0 	41.1 	
123.0 	53.3 	47.7 	0.0 	-2.3 	0.0 	179.2 	60.7 	0.0 	-9.3 	0.0 	216.7 	0.0 	-31.0 	0.0 	67.5 	0.0 	5.9 	39.6 	0.0 	41.0 	
123.0 	53.4 	47.3 	0.0 	-2.0 	0.0 	179.6 	60.6 	0.0 	-8.2 	0.0 	216.0 	0.0 	-31.0 	0.0 	67.7 	0.0 	6.5 	39.9 	0.0 	40.8 	
122.8 	52.1 	47.6 	0.0 	-2.4 	0.0 	178.4 	60.5 	0.0 	-9.7 	0.0 	215.4 	0.0 	-31.2 	0.0 	67.2 	0.0 	6.0 	39.8 	0.0 	40.7 	
123.0 	52.5 	47.3 	0.0 	-2.3 	0.0 	177.8 	60.8 	0.0 	-10.1 	0.0 	216.9 	0.0 	-31.1 	0.0 	67.3 	0.0 	6.5 	39.5 	0.0 	40.6 	
122.5 	53.3 	47.5 	0.0 	-1.9 	0.0 	178.6 	60.7 	0.0 	-9.5 	0.0 	216.9 	0.0 	-30.8 	0.0 	67.3 	0.0 	6.5 	39.5 	0.0 	40.7 	
123.1 	51.8 	47.2 	0.0 	-1.8 	0.0 	179.3 	61.2 	0.0 	-9.7 	0.0 	216.1 	0.0 	-31.1 	0.0 	67.9 	0.0 	6.3 	39.5 	0.0 	40.8 	
122.1 	51.0 	47.6 	0.0 	-2.0 	0.0 	177.8 	60.7 	0.0 	-9.0 	0.0 	216.3 	0.0 	-30.9 	0.0 	67.3 	0.0 	6.4 	39.6 	0.0 	40.8 	
122.9 	53.3 	47.2 	0.0 	-2.1 	0.0 	178.7 	61.4 	0.0 	-9.7 	0.0 	217.7 	0.0 	-31.0 	0.0 	67.5 	0.0 	6.0 	39.4 	0.0 	41.1 	
123.2 	52.9 	48.1 	0.0 	-2.0 	0.0 	178.8 	61.0 	0.0 	-9.4 	0.0 	215.7 	0.0 	-31.1 	0.0 	68.0 	0.0 	6.7 	39.7 	0.0 	40.8 	
122.5 	52.1 	47.2 	0.0 	-1.9 	0.0 	179.1 	60.1 	0.0 	-9.3 	0.0 	216.2 	0.0 	-30.8 	0.0 	67.7 	0.0 	6.0 	39.6 	0.0 	40.8 	
