C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
141.5 	58.0 	50.2 	0.0 	-0.2 	0.0 	198.6 	61.4 	0.0 	-10.7 	0.0 	226.8 	0.0 	-31.9 	0.0 	75.7 	0.0 	3.4 	50.1 	0.0 	51.9 	
141.3 	57.4 	49.4 	0.0 	-0.3 	0.0 	198.2 	61.2 	0.0 	-11.7 	0.0 	224.8 	0.0 	-31.4 	0.0 	76.3 	0.0 	3.2 	50.1 	0.0 	51.8 	
140.8 	58.7 	49.7 	0.0 	-0.2 	0.0 	197.6 	61.0 	0.0 	-11.2 	0.0 	225.6 	0.0 	-31.5 	0.0 	75.5 	0.0 	3.3 	49.8 	0.0 	51.8 	
142.2 	58.2 	49.4 	0.0 	-0.1 	0.0 	199.2 	60.7 	0.0 	-10.4 	0.0 	226.2 	0.0 	-31.6 	0.0 	76.2 	0.0 	3.2 	49.8 	0.0 	51.7 	
141.5 	58.8 	49.6 	0.0 	-0.2 	0.0 	197.9 	61.6 	0.0 	-10.3 	0.0 	225.1 	0.0 	-31.6 	0.0 	76.1 	0.0 	3.4 	49.7 	0.0 	51.3 	
141.8 	56.3 	49.1 	0.0 	-0.1 	0.0 	196.9 	61.0 	0.0 	-10.7 	0.0 	223.9 	0.0 	-31.3 	0.0 	75.2 	0.0 	3.5 	49.7 	0.0 	51.5 	
141.2 	56.5 	50.2 	0.0 	-0.3 	0.0 	198.0 	61.1 	0.0 	-11.3 	0.0 	226.1 	0.0 	-31.0 	0.0 	76.2 	0.0 	3.7 	50.1 	0.0 	51.8 	
141.2 	56.9 	49.4 	0.0 	-0.0 	0.0 	197.5 	61.7 	0.0 	-10.3 	0.0 	225.3 	0.0 	-31.2 	0.0 	76.1 	0.0 	3.2 	49.9 	0.0 	51.6 	
141.9 	57.3 	49.3 	0.0 	-0.3 	0.0 	197.7 	59.7 	0.0 	-11.4 	0.0 	225.6 	0.0 	-31.6 	0.0 	75.8 	0.0 	3.6 	50.0 	0.0 	51.7 	
142.1 	57.6 	49.7 	0.0 	-0.3 	0.0 	197.5 	61.9 	0.0 	-9.4 	0.0 	226.4 	0.0 	-31.7 	0.0 	75.9 	0.0 	3.4 	49.8 	0.0 	51.1 	
142.2 	56.6 	50.4 	0.0 	-0.0 	0.0 	198.0 	61.4 	0.0 	-10.4 	0.0 	226.5 	0.0 	-31.1 	0.0 	75.9 	0.0 	3.4 	50.0 	0.0 	52.1 	
141.3 	56.7 	49.7 	0.0 	-0.1 	0.0 	198.7 	60.4 	0.0 	-11.6 	0.0 	225.6 	0.0 	-31.4 	0.0 	76.0 	0.0 	3.6 	50.1 	0.0 	51.6 	
141.4 	58.9 	49.8 	0.0 	-0.2 	0.0 	197.9 	61.7 	0.0 	-11.5 	0.0 	225.3 	0.0 	-31.1 	0.0 	76.1 	0.0 	3.4 	49.7 	0.0 	51.7 	
141.5 	56.8 	49.2 	0.0 	-0.2 	0.0 	198.1 	61.1 	0.0 	-10.0 	0.0 	223.9 	0.0 	-31.6 	0.0 	76.1 	0.0 	2.9 	49.4 	0.0 	51.5 	
141.5 	57.5 	49.9 	0.0 	-0.1 	0.0 	197.4 	60.8 	0.0 	-9.4 	0.0 	224.3 	0.0 	-31.3 	0.0 	75.7 	0.0 	3.4 	49.8 	0.0 	51.7 	
141.5 	56.3 	49.9 	0.0 	-0.1 	0.0 	197.8 	61.0 	0.0 	-10.1 	0.0 	225.6 	0.0 	-31.8 	0.0 	76.0 	0.0 	3.1 	49.9 	0.0 	52.0 	
141.4 	57.3 	49.5 	0.0 	-0.4 	0.0 	198.0 	61.1 	0.0 	-10.6 	0.0 	225.3 	0.0 	-31.2 	0.0 	76.0 	0.0 	3.5 	49.7 	0.0 	51.9 	
141.1 	56.6 	49.0 	0.0 	-0.4 	0.0 	199.3 	60.9 	0.0 	-11.0 	0.0 	225.2 	0.0 	-31.3 	0.0 	75.7 	0.0 	3.7 	49.8 	0.0 	51.5 	
141.3 	57.6 	50.6 	0.0 	-0.3 	0.0 	197.7 	61.2 	0.0 	-11.2 	0.0 	225.0 	0.0 	-31.7 	0.0 	75.3 	0.0 	3.3 	49.9 	0.0 	51.4 	
141.2 	57.1 	49.3 	0.0 	-0.2 	0.0 	197.4 	60.0 	0.0 	-11.8 	0.0 	225.1 	0.0 	-31.3 	0.0 	75.7 	0.0 	3.5 	50.1 	0.0 	51.7 	
141.9 	56.3 	50.2 	0.0 	-0.2 	0.0 	197.4 	60.4 	0.0 	-11.0 	0.0 	226.5 	0.0 	-31.1 	0.0 	75.7 	0.0 	3.5 	49.7 	0.0 	51.9 	
141.5 	58.1 	49.7 	0.0 	-0.1 	0.0 	199.4 	61.0 	0.0 	-10.0 	0.0 	226.0 	0.0 	-31.7 	0.0 	75.6 	0.0 	3.0 	49.8 	0.0 	51.6 	
141.6 	56.4 	49.7 	0.0 	-0.2 	0.0 	198.0 	61.1 	0.0 	-11.1 	0.0 	226.6 	0.0 	-31.6 	0.0 	75.8 	0.0 	3.1 	49.7 	0.0 	51.7 	
141.5 	56.3 	49.9 	0.0 	-0.2 	0.0 	197.6 	60.6 	0.0 	-10.8 	0.0 	226.5 	0.0 	-30.9 	0.0 	75.6 	0.0 	3.0 	49.9 	0.0 	51.7 	
141.3 	56.8 	50.4 	0.0 	-0.1 	0.0 	198.9 	60.5 	0.0 	-11.2 	0.0 	227.4 	0.0 	-31.2 	0.0 	76.2 	0.0 	3.1 	49.8 	0.0 	51.5 	
142.6 	57.4 	50.2 	0.0 	-0.2 	0.0 	197.1 	60.5 	0.0 	-10.3 	0.0 	226.5 	0.0 	-31.2 	0.0 	76.1 	0.0 	3.2 	49.7 	0.0 	51.9 	
141.6 	58.2 	49.3 	0.0 	-0.0 	0.0 	197.7 	61.2 	0.0 	-10.8 	0.0 	224.6 	0.0 	-31.6 	0.0 	76.2 	0.0 	3.1 	49.9 	0.0 	51.9 	
141.5 	57.5 	49.1 	0.0 	-0.1 	0.0 	197.4 	60.8 	0.0 	-10.7 	0.0 	226.2 	0.0 	-31.6 	0.0 	75.9 	0.0 	3.3 	49.7 	0.0 	51.5 	
141.4 	57.8 	48.7 	0.0 	-0.3 	0.0 	197.2 	60.7 	0.0 	-10.1 	0.0 	226.1 	0.0 	-31.1 	0.0 	76.0 	0.0 	3.5 	49.7 	0.0 	51.7 	
141.7 	57.8 	49.5 	0.0 	0.0 	0.0 	198.1 	59.6 	0.0 	-11.0 	0.0 	225.8 	0.0 	-31.1 	0.0 	75.5 	0.0 	3.3 	50.0 	0.0 	51.7 	
141.7 	57.4 	49.5 	0.0 	0.0 	0.0 	197.3 	60.7 	0.0 	-9.7 	0.0 	223.9 	0.0 	-31.5 	0.0 	75.8 	0.0 	3.5 	50.0 	0.0 	51.6 	
141.8 	56.2 	49.4 	0.0 	-0.0 	0.0 	197.7 	61.7 	0.0 	-11.5 	0.0 	225.2 	0.0 	-31.5 	0.0 	75.8 	0.0 	3.2 	49.9 	0.0 	51.7 	
141.6 	57.8 	49.8 	0.0 	-0.3 	0.0 	197.8 	61.2 	0.0 	-10.8 	0.0 	223.8 	0.0 	-31.4 	0.0 	75.6 	0.0 	3.6 	49.9 	0.0 	51.6 	
140.5 	56.8 	49.4 	0.0 	-0.2 	0.0 	197.5 	60.9 	0.0 	-10.6 	0.0 	226.5 	0.0 	-31.4 	0.0 	75.8 	0.0 	3.2 	49.8 	0.0 	52.0 	
141.2 	56.1 	49.2 	0.0 	-0.2 	0.0 	197.2 	61.0 	0.0 	-10.5 	0.0 	227.2 	0.0 	-31.7 	0.0 	75.6 	0.0 	3.2 	49.9 	0.0 	51.4 	
141.5 	57.4 	49.7 	0.0 	-0.1 	0.0 	198.5 	60.2 	0.0 	-10.8 	0.0 	225.0 	0.0 	-31.4 	0.0 	75.7 	0.0 	3.5 	49.9 	0.0 	51.7 	
141.9 	57.1 	50.2 	0.0 	-0.2 	0.0 	197.1 	61.0 	0.0 	-10.9 	0.0 	225.2 	0.0 	-31.5 	0.0 	76.0 	0.0 	3.8 	49.8 	0.0 	51.9 	
141.5 	57.8 	49.5 	0.0 	-0.3 	0.0 	197.7 	61.4 	0.0 	-11.7 	0.0 	226.2 	0.0 	-31.3 	0.0 	76.1 	0.0 	3.0 	49.9 	0.0 	51.9 	
141.5 	56.6 	49.5 	0.0 	-0.4 	0.0 	198.2 	61.8 	0.0 	-10.0 	0.0 	225.5 	0.0 	-31.3 	0.0 	75.2 	0.0 	3.4 	50.1 	0.0 	52.0 	
141.4 	57.2 	49.1 	0.0 	-0.3 	0.0 	196.7 	61.0 	0.0 	-10.2 	0.0 	225.4 	0.0 	-31.3 	0.0 	76.0 	0.0 	3.3 	49.8 	0.0 	51.6 	
141.6 	56.5 	49.6 	0.0 	-0.3 	0.0 	197.8 	60.5 	0.0 	-11.3 	0.0 	226.2 	0.0 	-31.8 	0.0 	75.7 	0.0 	3.1 	49.7 	0.0 	51.9 	
142.2 	57.3 	49.9 	0.0 	-0.4 	0.0 	197.4 	60.6 	0.0 	-10.2 	0.0 	224.5 	0.0 	-31.8 	0.0 	76.5 	0.0 	3.3 	49.9 	0.0 	52.1 	
141.4 	57.8 	49.5 	0.0 	-0.1 	0.0 	198.0 	60.6 	0.0 	-12.2 	0.0 	225.3 	0.0 	-31.4 	0.0 	76.3 	0.0 	3.2 	50.0 	0.0 	51.7 	
142.1 	56.6 	49.5 	0.0 	-0.3 	0.0 	196.5 	60.6 	0.0 	-12.1 	0.0 	224.0 	0.0 	-31.2 	0.0 	76.0 	0.0 	3.4 	49.9 	0.0 	51.9 	
141.9 	56.7 	49.6 	0.0 	-0.2 	0.0 	197.6 	61.0 	0.0 	-10.6 	0.0 	226.3 	0.0 	-31.6 	0.0 	76.3 	0.0 	3.3 	49.8 	0.0 	51.3 	
140.9 	56.9 	50.0 	0.0 	-0.3 	0.0 	197.7 	61.2 	0.0 	-10.9 	0.0 	224.4 	0.0 	-31.3 	0.0 	76.1 	0.0 	3.2 	49.8 	0.0 	51.4 	
141.5 	56.4 	49.7 	0.0 	-0.3 	0.0 	197.6 	61.2 	0.0 	-11.2 	0.0 	225.9 	0.0 	-31.6 	0.0 	75.7 	0.0 	3.3 	50.0 	0.0 	51.6 	
142.1 	56.3 	49.4 	0.0 	-0.3 	0.0 	197.3 	60.9 	0.0 	-11.1 	0.0 	224.7 	0.0 	-31.3 	0.0 	75.9 	0.0 	3.2 	50.1 	0.0 	51.6 	
141.3 	56.7 	49.8 	0.0 	-0.2 	0.0 	198.2 	60.9 	0.0 	-10.8 	0.0 	226.8 	0.0 	-31.3 	0.0 	76.0 	0.0 	3.3 	49.9 	0.0 	51.6 	
142.2 	58.5 	49.5 	0.0 	-0.4 	0.0 	198.8 	60.4 	0.0 	-11.2 	0.0 	224.4 	0.0 	-31.5 	0.0 	75.7 	0.0 	3.0 	49.7 	0.0 	51.6 	
141.4 	57.4 	48.9 	0.0 	0.2 	0.0 	198.0 	61.4 	0.0 	-10.4 	0.0 	225.5 	0.0 	-31.8 	0.0 	75.7 	0.0 	3.2 	50.1 	0.0 	51.8 	
141.8 	58.2 	48.7 	0.0 	-0.1 	0.0 	196.8 	61.9 	0.0 	-12.2 	0.0 	226.2 	0.0 	-31.6 	0.0 	76.0 	0.0 	3.7 	49.8 	0.0 	51.4 	
142.5 	57.4 	49.5 	0.0 	-0.0 	0.0 	198.1 	60.3 	0.0 	-11.6 	0.0 	226.2 	0.0 	-30.7 	0.0 	75.5 	0.0 	3.4 	50.1 	0.0 	51.8 	
