C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
119.0 	47.4 	40.8 	0.0 	-1.5 	0.0 	182.0 	58.7 	0.0 	-5.2 	0.0 	227.4 	0.0 	-30.9 	0.0 	75.5 	0.0 	5.0 	45.9 	0.0 	49.5 	
119.1 	46.9 	41.1 	0.0 	-1.6 	0.0 	182.1 	58.1 	0.0 	-4.9 	0.0 	228.1 	0.0 	-30.7 	0.0 	75.5 	0.0 	4.7 	46.1 	0.0 	48.8 	
119.7 	47.4 	41.4 	0.0 	-1.6 	0.0 	182.3 	57.9 	0.0 	-5.0 	0.0 	229.0 	0.0 	-30.3 	0.0 	75.6 	0.0 	4.5 	46.1 	0.0 	49.6 	
119.3 	47.7 	41.8 	0.0 	-1.8 	0.0 	181.4 	58.6 	0.0 	-5.8 	0.0 	227.6 	0.0 	-30.8 	0.0 	75.3 	0.0 	5.0 	45.9 	0.0 	49.1 	
119.4 	47.3 	41.5 	0.0 	-1.6 	0.0 	182.1 	58.1 	0.0 	-5.5 	0.0 	228.2 	0.0 	-30.7 	0.0 	75.5 	0.0 	4.7 	45.9 	0.0 	49.4 	
119.3 	47.6 	41.2 	0.0 	-1.8 	0.0 	181.4 	58.2 	0.0 	-5.5 	0.0 	227.2 	0.0 	-30.8 	0.0 	75.5 	0.0 	5.0 	46.0 	0.0 	49.3 	
119.4 	47.4 	40.8 	0.0 	-1.8 	0.0 	181.6 	58.3 	0.0 	-5.3 	0.0 	228.3 	0.0 	-30.7 	0.0 	75.7 	0.0 	4.5 	45.8 	0.0 	49.0 	
118.7 	47.1 	41.4 	0.0 	-1.8 	0.0 	182.5 	58.1 	0.0 	-6.1 	0.0 	228.0 	0.0 	-30.7 	0.0 	75.6 	0.0 	4.8 	45.9 	0.0 	49.3 	
119.1 	47.5 	41.3 	0.0 	-1.8 	0.0 	182.3 	58.1 	0.0 	-5.3 	0.0 	228.0 	0.0 	-30.9 	0.0 	75.4 	0.0 	5.0 	46.0 	0.0 	49.0 	
119.1 	47.2 	41.2 	0.0 	-1.4 	0.0 	181.3 	57.9 	0.0 	-5.4 	0.0 	227.6 	0.0 	-30.5 	0.0 	75.7 	0.0 	4.2 	45.9 	0.0 	49.3 	
