C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
148.8 	56.3 	48.6 	0.0 	0.1 	0.0 	205.2 	61.7 	0.0 	-6.7 	0.0 	232.9 	0.0 	-28.8 	0.0 	76.8 	0.0 	2.0 	53.9 	0.0 	52.8 	
147.1 	56.9 	48.6 	0.0 	0.6 	0.0 	206.2 	62.7 	0.0 	-6.7 	0.0 	231.9 	0.0 	-29.0 	0.0 	77.3 	0.0 	1.7 	54.2 	0.0 	53.0 	
148.3 	56.7 	49.3 	0.0 	0.4 	0.0 	203.9 	62.7 	0.0 	-7.4 	0.0 	232.0 	0.0 	-29.1 	0.0 	76.8 	0.0 	1.9 	54.1 	0.0 	53.0 	
148.7 	57.0 	49.1 	0.0 	0.2 	0.0 	205.0 	61.6 	0.0 	-7.1 	0.0 	232.6 	0.0 	-29.2 	0.0 	76.9 	0.0 	1.5 	54.1 	0.0 	52.8 	
148.7 	56.7 	48.6 	0.0 	0.1 	0.0 	204.3 	61.8 	0.0 	-6.3 	0.0 	234.6 	0.0 	-29.1 	0.0 	77.0 	0.0 	1.8 	54.2 	0.0 	52.7 	
148.9 	56.7 	48.5 	0.0 	0.6 	0.0 	204.8 	62.3 	0.0 	-7.1 	0.0 	233.0 	0.0 	-28.9 	0.0 	76.9 	0.0 	1.7 	54.1 	0.0 	52.6 	
148.6 	55.9 	48.5 	0.0 	0.4 	0.0 	203.9 	61.9 	0.0 	-7.4 	0.0 	231.7 	0.0 	-29.2 	0.0 	76.5 	0.0 	1.9 	54.0 	0.0 	52.5 	
148.2 	56.3 	48.7 	0.0 	0.1 	0.0 	204.3 	63.1 	0.0 	-6.6 	0.0 	231.8 	0.0 	-28.8 	0.0 	77.0 	0.0 	1.5 	54.2 	0.0 	52.8 	
149.3 	56.8 	49.2 	0.0 	0.4 	0.0 	204.3 	62.6 	0.0 	-7.3 	0.0 	232.2 	0.0 	-28.4 	0.0 	76.6 	0.0 	1.9 	54.1 	0.0 	52.9 	
148.4 	55.8 	49.1 	0.0 	0.4 	0.0 	205.1 	62.4 	0.0 	-6.5 	0.0 	232.2 	0.0 	-28.4 	0.0 	76.6 	0.0 	2.0 	53.9 	0.0 	52.6 	
148.8 	56.0 	48.8 	0.0 	-0.1 	0.0 	204.1 	62.6 	0.0 	-5.6 	0.0 	231.2 	0.0 	-28.7 	0.0 	76.2 	0.0 	2.1 	54.4 	0.0 	53.0 	
149.1 	57.1 	49.1 	0.0 	0.2 	0.0 	205.0 	61.1 	0.0 	-6.8 	0.0 	232.0 	0.0 	-28.7 	0.0 	76.8 	0.0 	1.7 	54.1 	0.0 	52.8 	
147.5 	55.4 	48.5 	0.0 	0.2 	0.0 	204.1 	62.6 	0.0 	-7.4 	0.0 	233.0 	0.0 	-29.2 	0.0 	76.5 	0.0 	1.9 	53.9 	0.0 	52.8 	
148.7 	56.5 	48.8 	0.0 	0.1 	0.0 	205.3 	60.8 	0.0 	-7.1 	0.0 	230.8 	0.0 	-28.7 	0.0 	76.7 	0.0 	1.9 	54.4 	0.0 	53.0 	
147.6 	57.0 	49.2 	0.0 	0.3 	0.0 	204.4 	61.6 	0.0 	-7.2 	0.0 	231.2 	0.0 	-28.6 	0.0 	76.3 	0.0 	2.1 	54.1 	0.0 	52.7 	
149.0 	55.4 	49.1 	0.0 	0.5 	0.0 	204.4 	62.1 	0.0 	-7.7 	0.0 	232.3 	0.0 	-28.8 	0.0 	76.8 	0.0 	2.1 	54.3 	0.0 	52.9 	
148.5 	56.8 	48.6 	0.0 	0.0 	0.0 	204.8 	61.8 	0.0 	-7.2 	0.0 	232.6 	0.0 	-28.8 	0.0 	76.9 	0.0 	1.7 	54.2 	0.0 	52.9 	
149.4 	56.5 	48.8 	0.0 	0.4 	0.0 	204.4 	62.4 	0.0 	-6.5 	0.0 	231.3 	0.0 	-29.0 	0.0 	76.6 	0.0 	2.0 	54.3 	0.0 	52.9 	
148.2 	56.2 	49.3 	0.0 	0.2 	0.0 	205.3 	61.5 	0.0 	-7.4 	0.0 	231.0 	0.0 	-28.8 	0.0 	76.7 	0.0 	1.7 	54.2 	0.0 	52.8 	
149.5 	56.9 	48.7 	0.0 	0.2 	0.0 	204.0 	61.6 	0.0 	-6.1 	0.0 	232.5 	0.0 	-28.5 	0.0 	77.0 	0.0 	1.9 	54.0 	0.0 	52.9 	
148.0 	56.4 	48.6 	0.0 	0.2 	0.0 	205.0 	62.0 	0.0 	-5.6 	0.0 	231.2 	0.0 	-29.0 	0.0 	76.1 	0.0 	2.2 	54.2 	0.0 	53.0 	
148.3 	56.4 	48.8 	0.0 	0.4 	0.0 	204.9 	62.7 	0.0 	-7.7 	0.0 	231.4 	0.0 	-28.8 	0.0 	76.5 	0.0 	2.1 	54.0 	0.0 	53.0 	
148.4 	56.3 	48.6 	0.0 	0.3 	0.0 	206.1 	61.9 	0.0 	-7.9 	0.0 	232.9 	0.0 	-29.2 	0.0 	76.5 	0.0 	2.0 	54.2 	0.0 	52.9 	
148.1 	57.5 	48.8 	0.0 	0.7 	0.0 	204.2 	62.0 	0.0 	-8.0 	0.0 	232.5 	0.0 	-28.9 	0.0 	77.0 	0.0 	1.8 	54.2 	0.0 	52.8 	
149.3 	58.1 	48.6 	0.0 	0.3 	0.0 	204.6 	62.8 	0.0 	-8.4 	0.0 	232.3 	0.0 	-28.8 	0.0 	76.5 	0.0 	1.9 	54.0 	0.0 	52.9 	
148.4 	55.9 	49.1 	0.0 	0.2 	0.0 	204.7 	63.0 	0.0 	-6.2 	0.0 	231.4 	0.0 	-28.9 	0.0 	76.4 	0.0 	1.6 	53.9 	0.0 	53.1 	
148.1 	57.1 	48.9 	0.0 	0.2 	0.0 	204.0 	62.3 	0.0 	-6.0 	0.0 	232.7 	0.0 	-29.0 	0.0 	76.8 	0.0 	2.2 	54.2 	0.0 	53.1 	
148.1 	57.6 	49.3 	0.0 	0.2 	0.0 	204.5 	62.1 	0.0 	-6.9 	0.0 	232.7 	0.0 	-28.9 	0.0 	76.1 	0.0 	1.5 	54.0 	0.0 	53.0 	
148.8 	57.4 	49.0 	0.0 	0.6 	0.0 	203.0 	61.8 	0.0 	-6.9 	0.0 	232.2 	0.0 	-29.0 	0.0 	76.2 	0.0 	1.6 	54.2 	0.0 	52.8 	
