C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
108.8 	48.8 	38.0 	0.0 	0.8 	0.0 	190.6 	59.4 	0.0 	-5.4 	0.0 	231.3 	0.0 	-29.7 	0.0 	77.0 	0.0 	7.8 	50.0 	0.0 	48.3 	
108.6 	49.1 	37.7 	0.0 	1.0 	0.0 	190.8 	58.4 	0.0 	-5.9 	0.0 	232.9 	0.0 	-29.8 	0.0 	77.7 	0.0 	8.0 	49.9 	0.0 	48.5 	
108.6 	48.7 	37.5 	0.0 	1.1 	0.0 	192.0 	58.8 	0.0 	-5.6 	0.0 	232.1 	0.0 	-29.8 	0.0 	76.8 	0.0 	8.1 	50.1 	0.0 	48.7 	
108.5 	48.7 	37.7 	0.0 	0.8 	0.0 	191.2 	59.2 	0.0 	-5.1 	0.0 	230.2 	0.0 	-29.8 	0.0 	77.9 	0.0 	7.8 	50.2 	0.0 	48.8 	
108.4 	48.7 	37.8 	0.0 	1.0 	0.0 	191.8 	59.7 	0.0 	-4.9 	0.0 	230.2 	0.0 	-29.6 	0.0 	76.7 	0.0 	8.0 	50.0 	0.0 	48.6 	
108.0 	49.2 	37.6 	0.0 	1.2 	0.0 	189.7 	59.4 	0.0 	-5.7 	0.0 	231.8 	0.0 	-29.4 	0.0 	76.7 	0.0 	8.1 	50.1 	0.0 	48.8 	
108.5 	48.5 	37.5 	0.0 	1.0 	0.0 	191.2 	59.4 	0.0 	-5.1 	0.0 	229.9 	0.0 	-29.9 	0.0 	76.6 	0.0 	7.8 	50.1 	0.0 	48.5 	
108.9 	47.9 	37.7 	0.0 	0.9 	0.0 	191.4 	59.4 	0.0 	-5.0 	0.0 	229.1 	0.0 	-29.4 	0.0 	76.6 	0.0 	7.3 	50.2 	0.0 	48.2 	
109.0 	48.4 	37.9 	0.0 	1.5 	0.0 	191.5 	59.0 	0.0 	-6.1 	0.0 	230.9 	0.0 	-29.5 	0.0 	76.8 	0.0 	7.4 	50.1 	0.0 	48.5 	
108.3 	48.9 	37.9 	0.0 	1.1 	0.0 	191.8 	59.9 	0.0 	-5.0 	0.0 	230.1 	0.0 	-29.9 	0.0 	77.2 	0.0 	7.6 	50.1 	0.0 	48.8 	
108.4 	48.1 	37.0 	0.0 	1.1 	0.0 	192.3 	59.1 	0.0 	-5.5 	0.0 	231.4 	0.0 	-29.4 	0.0 	76.5 	0.0 	8.0 	50.0 	0.0 	48.9 	
108.3 	48.1 	37.6 	0.0 	0.8 	0.0 	191.4 	59.0 	0.0 	-5.8 	0.0 	230.1 	0.0 	-29.3 	0.0 	76.6 	0.0 	7.8 	50.1 	0.0 	48.6 	
108.7 	48.5 	37.8 	0.0 	1.0 	0.0 	192.5 	58.6 	0.0 	-4.8 	0.0 	229.9 	0.0 	-29.4 	0.0 	76.8 	0.0 	7.3 	49.8 	0.0 	48.1 	
