C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
133.5 	50.8 	43.6 	0.0 	-0.9 	0.0 	193.5 	58.2 	0.0 	-10.7 	0.0 	225.8 	0.0 	-30.1 	0.0 	75.6 	0.0 	3.9 	47.7 	0.0 	50.3 	
133.9 	50.9 	43.2 	0.0 	-0.7 	0.0 	193.6 	58.9 	0.0 	-10.7 	0.0 	225.3 	0.0 	-30.1 	0.0 	75.6 	0.0 	3.8 	47.4 	0.0 	50.5 	
133.6 	50.2 	42.8 	0.0 	-0.6 	0.0 	192.3 	58.5 	0.0 	-11.3 	0.0 	224.9 	0.0 	-30.1 	0.0 	75.6 	0.0 	3.6 	47.4 	0.0 	50.4 	
133.7 	49.6 	43.2 	0.0 	-0.8 	0.0 	192.6 	58.4 	0.0 	-10.2 	0.0 	226.2 	0.0 	-30.2 	0.0 	75.2 	0.0 	3.9 	47.4 	0.0 	50.6 	
133.4 	51.3 	43.4 	0.0 	-0.6 	0.0 	192.8 	58.7 	0.0 	-11.9 	0.0 	226.3 	0.0 	-30.1 	0.0 	75.7 	0.0 	3.8 	47.5 	0.0 	50.4 	
133.7 	50.1 	42.7 	0.0 	-0.7 	0.0 	194.0 	58.9 	0.0 	-10.3 	0.0 	226.9 	0.0 	-30.4 	0.0 	75.5 	0.0 	3.9 	47.6 	0.0 	50.4 	
134.6 	50.7 	43.1 	0.0 	-0.6 	0.0 	193.2 	58.8 	0.0 	-10.6 	0.0 	226.9 	0.0 	-30.4 	0.0 	74.9 	0.0 	4.0 	47.7 	0.0 	50.4 	
133.6 	51.6 	43.7 	0.0 	-0.6 	0.0 	193.4 	57.5 	0.0 	-11.6 	0.0 	224.5 	0.0 	-30.7 	0.0 	75.1 	0.0 	3.9 	47.5 	0.0 	50.3 	
134.5 	50.9 	43.1 	0.0 	-1.0 	0.0 	193.6 	59.0 	0.0 	-10.4 	0.0 	226.1 	0.0 	-30.4 	0.0 	75.4 	0.0 	3.7 	47.4 	0.0 	50.2 	
133.6 	51.1 	43.5 	0.0 	-0.6 	0.0 	193.5 	58.0 	0.0 	-10.2 	0.0 	226.7 	0.0 	-30.1 	0.0 	74.8 	0.0 	3.7 	47.6 	0.0 	50.5 	
