C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
67.8 	32.2 	31.1 	4.8 	-1.9 	-1.1 	184.7 	4.7 	-3.8 	-7.9 	-6.1 	179.2 	-9.1 	7.6 	-9.5 	25.0 	-2.5 	-7.2 	26.9 	0.7 	33.7 	
68.4 	31.9 	30.4 	5.0 	-2.4 	-0.9 	183.8 	5.3 	-4.7 	-7.7 	-6.4 	179.9 	-9.0 	7.3 	-9.9 	25.0 	-2.4 	-7.2 	26.8 	0.6 	33.8 	
67.7 	31.5 	29.9 	4.9 	-2.1 	-0.8 	184.8 	4.2 	-4.6 	-8.2 	-6.4 	180.8 	-8.9 	7.0 	-8.7 	25.0 	-2.3 	-7.2 	26.9 	0.6 	33.8 	
68.3 	32.1 	30.4 	4.7 	-2.1 	-0.9 	187.9 	4.4 	-4.6 	-7.9 	-6.3 	180.8 	-9.2 	7.8 	-9.4 	25.0 	-2.5 	-7.2 	26.9 	0.4 	33.6 	
68.4 	33.1 	30.1 	4.9 	-2.3 	-1.0 	184.2 	8.2 	-4.8 	-7.2 	-6.4 	178.8 	-9.3 	7.0 	-9.8 	25.0 	-2.5 	-7.1 	26.9 	0.6 	33.6 	
67.6 	33.2 	29.7 	4.9 	-2.3 	-1.1 	184.8 	8.1 	-4.7 	-7.2 	-5.9 	179.7 	-9.1 	7.8 	-9.0 	25.0 	-2.4 	-7.1 	26.9 	0.7 	33.5 	
68.2 	31.3 	29.8 	4.9 	-2.5 	-0.9 	187.3 	4.4 	-4.7 	-7.6 	-5.4 	180.5 	-9.5 	7.5 	-10.1 	24.9 	-2.4 	-7.1 	27.0 	0.6 	33.7 	
68.8 	31.4 	28.6 	4.9 	-2.1 	-1.1 	184.6 	2.8 	-4.8 	-7.6 	-6.9 	180.7 	-9.1 	7.4 	-9.4 	25.0 	-2.4 	-7.2 	26.9 	0.6 	33.5 	
68.5 	32.1 	29.4 	5.1 	-2.1 	-0.8 	184.2 	7.1 	-4.6 	-7.9 	-5.8 	178.5 	-9.0 	7.7 	-9.9 	25.0 	-2.4 	-7.1 	26.8 	0.6 	33.6 	
68.6 	31.6 	30.6 	4.9 	-2.0 	-1.1 	183.9 	7.7 	-3.8 	-7.7 	-5.8 	178.9 	-9.1 	7.7 	-9.1 	25.0 	-2.5 	-7.3 	26.9 	0.5 	33.6 	
67.9 	31.6 	31.1 	4.9 	-2.3 	-0.8 	188.1 	7.6 	-4.5 	-7.9 	-6.4 	180.3 	-9.1 	7.8 	-9.2 	25.1 	-2.4 	-7.2 	26.8 	0.6 	33.4 	
68.7 	31.9 	30.9 	4.7 	-2.4 	-1.1 	182.5 	4.3 	-4.0 	-7.6 	-6.9 	181.0 	-9.4 	7.9 	-9.2 	25.1 	-2.4 	-7.3 	26.9 	0.7 	33.5 	
68.9 	32.8 	29.8 	5.0 	-2.5 	-0.8 	186.5 	5.2 	-4.6 	-7.7 	-5.7 	180.2 	-9.7 	7.4 	-9.5 	25.0 	-2.4 	-7.1 	27.0 	0.6 	33.6 	
68.4 	32.0 	30.3 	5.0 	-2.3 	-0.9 	181.1 	5.7 	-4.6 	-7.4 	-6.3 	178.3 	-9.5 	6.8 	-9.0 	25.0 	-2.4 	-7.2 	26.8 	0.6 	33.7 	
68.2 	32.3 	30.7 	4.8 	-2.1 	-1.0 	186.9 	7.2 	-4.6 	-7.7 	-6.0 	180.1 	-9.3 	7.3 	-9.7 	25.0 	-2.4 	-7.3 	26.9 	0.7 	33.7 	
67.9 	30.9 	29.7 	4.8 	-2.3 	-1.0 	183.2 	5.9 	-4.5 	-7.7 	-6.3 	179.0 	-9.3 	7.5 	-9.5 	24.9 	-2.4 	-7.2 	26.9 	0.6 	33.5 	
68.2 	31.6 	31.7 	5.1 	-2.3 	-0.7 	184.2 	4.4 	-4.7 	-7.9 	-6.6 	182.5 	-9.1 	7.2 	-10.0 	25.0 	-2.4 	-7.2 	26.9 	0.6 	33.6 	
68.3 	33.7 	30.0 	4.8 	-2.0 	-1.0 	182.2 	5.1 	-4.7 	-7.6 	-6.8 	180.2 	-9.1 	7.2 	-9.1 	25.0 	-2.4 	-7.2 	26.8 	0.7 	33.7 	
