C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
95.8 	43.0 	37.5 	5.9 	-0.2 	-0.5 	192.5 	16.2 	-7.0 	-4.8 	-6.4 	171.2 	2.3 	7.4 	-9.6 	23.6 	-1.1 	-4.7 	33.3 	1.4 	35.7 	
95.2 	46.4 	38.8 	5.7 	0.0 	-0.8 	187.4 	14.6 	-7.0 	-4.9 	-6.5 	173.0 	1.8 	6.6 	-9.2 	23.6 	-1.2 	-4.6 	33.2 	1.3 	35.6 	
97.0 	45.9 	39.8 	5.9 	-0.4 	-0.5 	188.9 	18.2 	-7.3 	-5.5 	-6.8 	175.7 	2.2 	6.8 	-9.9 	23.5 	-1.1 	-4.8 	33.1 	1.4 	35.6 	
96.3 	46.4 	38.6 	5.6 	-0.5 	0.2 	191.1 	19.0 	-6.6 	-5.0 	-5.6 	173.8 	1.7 	6.3 	-10.2 	23.7 	-1.2 	-4.8 	33.1 	1.5 	35.4 	
96.8 	44.9 	37.8 	5.9 	-0.1 	-0.5 	189.3 	15.5 	-7.1 	-6.8 	-7.3 	172.3 	1.8 	8.0 	-9.5 	23.5 	-1.1 	-5.0 	32.6 	1.4 	35.3 	
97.0 	45.9 	39.8 	6.0 	-0.2 	-0.5 	190.4 	14.7 	-7.3 	-5.1 	-6.9 	171.0 	2.2 	7.4 	-9.1 	23.5 	-0.9 	-4.7 	33.2 	1.3 	35.2 	
95.4 	47.3 	39.2 	5.9 	-0.3 	-0.1 	190.4 	21.1 	-6.9 	-4.6 	-6.3 	171.4 	2.5 	7.1 	-9.8 	23.6 	-1.0 	-4.7 	33.1 	1.4 	35.7 	
96.3 	47.8 	36.1 	5.8 	-0.4 	-0.6 	189.2 	15.0 	-7.0 	-5.0 	-6.1 	171.2 	1.6 	6.4 	-9.9 	23.6 	-1.0 	-4.7 	33.4 	1.5 	35.5 	
95.7 	45.0 	38.3 	5.8 	-0.4 	-0.1 	189.6 	14.5 	-6.8 	-5.5 	-6.5 	169.7 	1.7 	7.5 	-9.5 	23.7 	-1.1 	-4.8 	33.0 	1.5 	35.6 	
96.7 	45.0 	39.2 	5.7 	-0.3 	-0.3 	189.6 	16.4 	-7.1 	-5.5 	-7.4 	173.9 	2.2 	6.8 	-10.2 	23.6 	-1.0 	-4.8 	33.3 	1.5 	35.6 	
97.2 	45.7 	39.3 	6.0 	-0.3 	-0.2 	187.5 	20.8 	-7.0 	-4.9 	-7.5 	175.2 	1.8 	7.3 	-9.3 	23.6 	-1.0 	-4.9 	32.8 	1.3 	35.5 	
97.1 	47.3 	37.4 	5.8 	-0.5 	-0.0 	193.8 	19.3 	-7.2 	-5.3 	-6.4 	171.0 	2.4 	6.9 	-10.0 	23.6 	-1.1 	-4.6 	32.9 	1.4 	35.4 	
96.6 	44.4 	38.3 	5.9 	-0.5 	0.0 	190.8 	16.9 	-7.1 	-5.5 	-6.7 	173.3 	3.1 	6.3 	-9.8 	23.5 	-1.1 	-4.9 	32.9 	1.3 	35.5 	
96.4 	47.1 	36.5 	6.1 	-0.3 	-0.1 	185.3 	16.6 	-6.4 	-5.7 	-7.3 	171.9 	2.6 	7.7 	-9.8 	23.6 	-1.1 	-4.7 	32.9 	1.4 	35.8 	
96.5 	43.7 	38.3 	5.8 	-0.3 	-0.4 	185.8 	16.2 	-6.5 	-5.1 	-5.8 	170.9 	2.4 	7.5 	-9.7 	23.7 	-1.2 	-4.7 	33.0 	1.3 	35.2 	
96.8 	45.7 	39.5 	5.9 	-0.5 	-0.0 	185.9 	16.1 	-7.0 	-4.9 	-7.1 	170.7 	1.0 	7.5 	-9.6 	23.5 	-1.1 	-4.7 	33.0 	1.4 	35.5 	
95.9 	47.0 	38.0 	6.0 	-0.3 	-0.2 	185.8 	16.2 	-7.2 	-5.1 	-7.2 	166.9 	2.3 	7.2 	-10.2 	23.6 	-1.1 	-4.9 	33.2 	1.4 	35.7 	
96.0 	45.6 	36.7 	5.9 	-0.3 	-0.3 	187.5 	15.2 	-7.1 	-5.0 	-7.1 	173.0 	2.1 	7.1 	-10.3 	23.6 	-1.1 	-4.7 	33.4 	1.5 	35.4 	
95.9 	48.0 	36.3 	5.9 	-0.2 	-0.4 	191.0 	17.3 	-7.3 	-4.6 	-7.1 	172.6 	2.1 	7.0 	-9.7 	23.6 	-1.1 	-4.8 	33.3 	1.3 	35.5 	
94.7 	45.8 	38.1 	6.1 	-0.3 	-0.2 	192.7 	16.3 	-6.9 	-5.5 	-6.6 	173.1 	1.8 	6.9 	-9.4 	23.6 	-1.2 	-4.8 	33.1 	1.6 	35.3 	
96.4 	46.0 	38.8 	5.8 	-0.0 	-0.4 	188.2 	19.4 	-7.1 	-4.4 	-6.6 	174.1 	2.5 	6.7 	-9.0 	23.6 	-1.1 	-4.8 	33.0 	1.3 	35.7 	
98.1 	45.1 	37.9 	6.0 	-0.3 	0.2 	189.1 	14.8 	-6.7 	-4.3 	-7.1 	170.9 	1.9 	7.3 	-10.1 	23.6 	-1.2 	-4.7 	33.4 	1.5 	35.7 	
96.0 	47.1 	38.8 	5.8 	-0.3 	-0.4 	191.1 	16.9 	-6.7 	-5.2 	-7.9 	172.2 	2.3 	7.1 	-9.2 	23.6 	-1.0 	-4.6 	33.1 	1.4 	35.6 	
95.0 	45.9 	38.5 	5.9 	-0.6 	0.2 	188.3 	14.8 	-6.9 	-4.4 	-8.1 	172.1 	2.3 	7.7 	-10.1 	23.6 	-0.9 	-4.8 	33.2 	1.7 	35.6 	
96.2 	47.7 	37.8 	5.9 	-0.4 	-0.3 	189.3 	14.4 	-6.9 	-4.8 	-6.1 	171.5 	2.5 	6.4 	-10.0 	23.6 	-1.2 	-4.8 	33.0 	1.5 	35.4 	
96.7 	46.6 	38.4 	6.1 	-0.0 	-0.3 	186.0 	18.9 	-7.6 	-6.1 	-6.6 	170.0 	1.9 	6.9 	-10.5 	23.6 	-1.2 	-5.0 	33.1 	1.4 	35.4 	
96.6 	46.5 	39.3 	5.9 	-0.3 	-0.3 	192.5 	18.8 	-6.9 	-6.3 	-7.1 	169.8 	2.1 	7.0 	-9.5 	23.6 	-1.0 	-4.8 	33.0 	1.5 	35.2 	
96.2 	45.0 	38.5 	6.1 	-0.3 	-0.4 	191.5 	15.5 	-7.0 	-5.2 	-6.4 	171.5 	1.5 	7.4 	-9.0 	23.6 	-1.1 	-4.7 	32.7 	1.4 	35.5 	
