C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
132.3 	63.6 	58.3 	9.2 	5.3 	-10.7 	198.9 	31.5 	7.5 	2.6 	-6.6 	167.1 	6.6 	0.9 	0.9 	24.6 	3.1 	-2.1 	36.7 	5.1 	35.8 	
130.5 	63.1 	54.6 	9.4 	4.8 	-10.8 	199.5 	32.9 	7.5 	3.7 	-7.0 	160.4 	6.7 	0.8 	2.5 	24.6 	3.0 	-2.2 	36.8 	5.4 	36.1 	
132.6 	63.4 	54.1 	9.8 	4.8 	-10.6 	199.5 	33.8 	7.2 	4.0 	-7.6 	162.8 	6.6 	0.2 	1.8 	24.6 	3.0 	-2.2 	36.7 	5.1 	36.1 	
130.7 	64.2 	55.0 	9.6 	5.1 	-10.2 	200.0 	31.5 	7.5 	3.1 	-8.4 	162.7 	6.5 	1.3 	1.9 	24.6 	3.0 	-2.2 	36.6 	5.1 	36.1 	
134.5 	65.1 	55.0 	9.5 	5.3 	-11.0 	197.1 	33.7 	7.2 	3.3 	-7.3 	164.2 	6.0 	0.8 	1.5 	24.6 	3.0 	-2.2 	36.5 	5.3 	35.9 	
131.2 	63.9 	56.4 	10.0 	6.0 	-10.1 	199.6 	31.6 	7.5 	4.0 	-8.1 	168.4 	6.5 	1.1 	1.1 	24.5 	3.0 	-2.2 	36.7 	5.2 	35.9 	
133.0 	65.4 	58.2 	9.7 	5.7 	-10.7 	199.2 	32.6 	7.8 	3.1 	-6.9 	161.6 	6.8 	0.5 	0.6 	24.6 	3.1 	-2.2 	36.7 	5.2 	36.0 	
132.9 	63.4 	53.7 	9.7 	5.1 	-10.3 	197.3 	33.5 	7.9 	3.0 	-6.7 	167.3 	6.7 	-0.2 	2.1 	24.7 	3.0 	-2.1 	36.7 	5.2 	36.0 	
132.7 	61.1 	54.7 	9.9 	4.5 	-10.8 	203.9 	27.9 	7.3 	4.1 	-6.2 	162.9 	6.0 	0.7 	2.2 	24.6 	3.0 	-2.1 	36.7 	5.2 	35.8 	
133.0 	62.1 	52.8 	9.2 	4.9 	-10.5 	202.5 	31.0 	7.6 	3.0 	-5.9 	163.1 	6.3 	0.7 	1.9 	24.6 	2.9 	-2.2 	36.7 	5.1 	36.0 	
134.2 	63.9 	56.6 	9.3 	4.6 	-10.5 	199.8 	32.0 	7.4 	3.7 	-8.4 	163.1 	6.9 	0.8 	1.8 	24.6 	3.1 	-2.2 	36.5 	5.2 	36.0 	
132.4 	63.3 	57.2 	9.7 	4.9 	-11.3 	202.5 	28.7 	7.8 	3.0 	-6.7 	167.4 	6.6 	0.5 	1.3 	24.6 	3.1 	-2.2 	36.7 	5.1 	35.8 	
132.3 	64.9 	57.4 	10.2 	5.1 	-11.0 	198.6 	33.6 	7.5 	3.0 	-7.6 	161.8 	6.9 	1.5 	1.4 	24.6 	3.0 	-2.2 	36.5 	5.2 	35.6 	
130.9 	62.1 	54.6 	9.4 	5.0 	-10.8 	199.4 	31.3 	7.2 	3.4 	-6.9 	160.3 	6.4 	-0.9 	1.5 	24.6 	3.1 	-2.3 	36.7 	5.2 	36.2 	
131.7 	64.6 	53.1 	9.8 	5.0 	-10.6 	198.4 	33.4 	7.3 	3.6 	-7.2 	161.4 	6.5 	0.5 	1.2 	24.6 	2.9 	-2.3 	36.6 	5.3 	36.2 	
133.3 	64.6 	57.1 	9.7 	5.4 	-10.8 	202.4 	32.7 	7.2 	3.2 	-8.1 	162.0 	6.3 	1.0 	2.2 	24.6 	3.0 	-2.2 	36.6 	5.3 	36.0 	
130.3 	64.4 	59.6 	9.7 	4.8 	-11.5 	199.4 	32.0 	8.0 	3.0 	-7.1 	167.9 	6.2 	0.9 	2.1 	24.6 	3.0 	-2.3 	36.8 	5.2 	36.3 	
131.6 	63.6 	54.4 	9.8 	5.0 	-10.9 	194.4 	28.7 	7.3 	2.3 	-7.5 	163.7 	7.0 	-0.2 	1.5 	24.7 	3.0 	-2.2 	36.6 	5.2 	36.2 	
131.8 	65.9 	54.3 	9.3 	5.1 	-10.7 	201.0 	35.9 	7.8 	2.7 	-7.2 	159.8 	7.1 	0.3 	1.4 	24.6 	3.0 	-2.2 	36.5 	5.2 	35.7 	
132.6 	64.3 	55.2 	9.6 	5.2 	-11.1 	201.8 	31.0 	6.8 	3.8 	-8.1 	163.0 	6.9 	0.8 	1.5 	24.5 	3.1 	-2.3 	36.6 	5.2 	36.3 	
133.6 	66.1 	55.0 	9.6 	5.2 	-10.9 	200.0 	31.9 	7.6 	3.5 	-7.5 	162.4 	6.6 	0.4 	2.2 	24.6 	3.1 	-2.3 	36.6 	5.3 	36.2 	
130.9 	64.3 	56.2 	9.9 	5.0 	-10.8 	203.8 	34.2 	7.5 	4.7 	-7.6 	163.6 	7.0 	0.9 	1.0 	24.6 	3.0 	-2.2 	36.5 	5.2 	36.0 	
133.5 	64.3 	53.7 	9.5 	5.1 	-10.8 	201.8 	33.6 	7.6 	4.0 	-7.1 	164.8 	6.5 	0.3 	1.3 	24.6 	3.0 	-2.2 	36.8 	5.1 	36.2 	
130.3 	64.8 	56.3 	9.5 	4.8 	-10.8 	203.9 	32.5 	7.5 	3.1 	-7.2 	161.7 	6.4 	0.0 	1.7 	24.6 	3.1 	-2.2 	36.6 	5.4 	35.8 	
132.7 	64.8 	55.8 	9.6 	4.9 	-10.8 	203.0 	32.4 	7.4 	3.7 	-7.6 	164.8 	6.8 	0.4 	0.8 	24.7 	2.9 	-2.3 	36.5 	5.1 	36.0 	
131.9 	66.1 	58.3 	9.2 	5.4 	-10.9 	198.9 	31.3 	7.2 	3.2 	-8.1 	164.3 	6.6 	1.8 	2.0 	24.6 	3.0 	-2.0 	36.5 	5.3 	36.1 	
130.4 	66.1 	54.0 	9.7 	5.5 	-11.1 	200.8 	31.1 	7.8 	2.3 	-7.9 	164.3 	6.5 	0.5 	1.3 	24.6 	3.0 	-2.2 	36.6 	5.1 	36.2 	
134.1 	64.5 	55.2 	9.6 	4.9 	-10.9 	201.5 	29.3 	7.1 	3.5 	-7.4 	165.6 	7.3 	0.5 	1.8 	24.5 	3.0 	-2.2 	36.7 	5.1 	36.1 	
128.6 	63.4 	53.1 	9.8 	4.9 	-10.9 	198.4 	32.4 	7.4 	3.2 	-6.3 	163.9 	6.6 	1.0 	1.5 	24.6 	3.1 	-2.1 	36.5 	5.1 	36.0 	
132.5 	64.9 	54.6 	9.1 	5.4 	-11.7 	201.3 	31.1 	7.5 	2.9 	-7.9 	165.8 	6.3 	0.8 	2.1 	24.6 	2.9 	-2.3 	36.7 	5.2 	36.0 	
132.3 	62.4 	56.0 	9.9 	5.1 	-10.8 	196.6 	29.8 	7.6 	3.8 	-5.8 	160.2 	6.7 	0.3 	2.4 	24.6 	3.0 	-2.1 	36.5 	5.0 	36.1 	
132.4 	63.9 	55.1 	9.8 	5.2 	-10.9 	201.7 	30.8 	7.5 	3.2 	-7.8 	166.3 	6.3 	0.2 	1.6 	24.6 	3.1 	-2.2 	36.5 	5.1 	36.4 	
133.7 	61.8 	56.3 	9.3 	5.2 	-10.7 	202.8 	29.0 	7.8 	3.4 	-7.7 	163.0 	6.7 	0.6 	2.1 	24.6 	3.0 	-2.2 	36.5 	5.3 	36.1 	
130.7 	63.6 	57.4 	9.5 	5.0 	-11.3 	197.9 	29.9 	7.3 	3.1 	-6.7 	162.4 	6.7 	1.0 	3.4 	24.5 	3.1 	-2.3 	36.6 	5.2 	36.1 	
133.3 	63.7 	55.2 	9.1 	4.7 	-10.2 	193.7 	31.8 	7.1 	3.1 	-7.8 	162.6 	6.3 	1.0 	1.6 	24.7 	3.0 	-2.2 	36.4 	5.3 	36.2 	
133.3 	65.4 	54.7 	8.7 	5.2 	-11.3 	203.3 	32.2 	7.5 	3.5 	-7.4 	163.7 	7.0 	0.6 	2.8 	24.5 	3.0 	-2.2 	36.7 	5.1 	35.9 	
131.7 	63.2 	55.3 	9.5 	4.9 	-11.1 	197.4 	33.6 	7.1 	3.6 	-7.5 	164.1 	6.1 	0.9 	2.2 	24.6 	3.0 	-2.3 	36.7 	5.3 	35.6 	
128.0 	65.1 	55.1 	9.3 	4.8 	-10.9 	200.4 	31.0 	7.6 	3.1 	-6.7 	163.3 	6.9 	-0.2 	1.3 	24.6 	2.9 	-2.2 	36.5 	5.2 	36.1 	
130.0 	64.6 	54.7 	9.5 	5.0 	-11.3 	199.7 	31.9 	7.7 	3.6 	-7.3 	162.1 	6.5 	0.5 	1.7 	24.6 	3.0 	-2.1 	36.4 	5.2 	36.0 	
