C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
119.4 	55.7 	51.0 	9.1 	3.3 	-3.7 	192.8 	25.7 	2.1 	5.8 	-10.5 	168.5 	1.9 	1.4 	-8.0 	23.3 	0.8 	0.9 	33.0 	4.5 	34.6 	
122.1 	52.8 	50.7 	9.1 	3.2 	-2.8 	193.4 	25.4 	1.9 	5.6 	-10.6 	161.8 	1.8 	1.2 	-7.8 	23.3 	0.8 	0.9 	32.6 	4.7 	35.3 	
120.8 	55.9 	50.5 	8.6 	3.3 	-3.4 	187.8 	29.5 	2.5 	6.1 	-10.4 	158.5 	1.4 	1.6 	-6.7 	23.3 	0.8 	1.1 	32.8 	4.3 	34.9 	
120.4 	57.4 	52.9 	8.8 	3.4 	-2.5 	191.4 	26.9 	2.9 	5.6 	-8.5 	165.2 	1.8 	1.2 	-8.1 	23.4 	0.8 	1.1 	32.7 	4.4 	34.8 	
120.2 	57.2 	49.1 	9.3 	3.8 	-2.9 	188.5 	29.6 	1.4 	5.8 	-9.6 	162.9 	1.5 	1.3 	-7.6 	23.3 	0.8 	1.1 	32.6 	4.3 	35.0 	
117.0 	58.3 	51.7 	9.1 	3.3 	-3.2 	192.7 	22.4 	2.9 	5.7 	-9.6 	161.4 	0.7 	2.0 	-7.8 	23.3 	0.9 	0.9 	32.7 	4.5 	34.9 	
122.0 	56.8 	48.4 	8.8 	2.7 	-3.1 	193.1 	21.4 	2.4 	5.7 	-8.9 	161.7 	1.6 	2.0 	-8.6 	23.3 	0.8 	0.8 	32.8 	4.6 	34.8 	
119.8 	57.5 	47.8 	9.3 	3.2 	-3.1 	192.3 	26.2 	1.7 	5.0 	-9.2 	167.5 	1.4 	1.9 	-8.8 	23.3 	0.8 	1.0 	32.7 	4.7 	34.6 	
118.1 	61.7 	50.6 	8.7 	3.4 	-3.3 	190.3 	26.4 	2.0 	5.5 	-9.3 	164.6 	1.3 	1.1 	-7.9 	23.3 	0.9 	0.8 	32.9 	4.3 	35.0 	
119.2 	61.9 	49.0 	9.2 	2.9 	-2.9 	189.2 	22.2 	2.0 	5.6 	-9.5 	161.4 	1.1 	2.0 	-8.7 	23.3 	0.8 	0.8 	32.7 	4.6 	35.0 	
118.2 	58.1 	49.7 	8.9 	3.0 	-2.9 	191.4 	25.0 	2.5 	4.3 	-11.2 	163.9 	1.2 	1.5 	-8.2 	23.2 	0.8 	0.8 	32.8 	4.6 	35.5 	
120.6 	57.4 	50.7 	8.9 	2.6 	-3.1 	189.4 	26.1 	1.3 	5.2 	-8.7 	161.9 	1.6 	1.9 	-7.8 	23.3 	0.8 	0.9 	32.7 	4.3 	35.3 	
121.0 	57.4 	51.8 	9.3 	3.1 	-2.5 	190.1 	25.3 	2.6 	4.2 	-10.8 	163.0 	1.5 	1.7 	-9.2 	23.3 	0.8 	1.0 	32.6 	4.4 	35.0 	
121.6 	56.9 	47.9 	9.4 	3.1 	-2.6 	193.2 	26.2 	1.4 	4.6 	-10.5 	164.8 	2.6 	1.3 	-7.5 	23.3 	0.8 	1.0 	32.8 	4.2 	34.6 	
120.5 	59.6 	51.8 	8.9 	3.1 	-3.4 	192.6 	28.5 	2.8 	5.9 	-9.1 	167.3 	2.0 	2.1 	-8.6 	23.3 	0.8 	1.1 	32.4 	4.7 	34.8 	
121.4 	56.7 	51.4 	8.9 	3.4 	-2.6 	196.8 	27.7 	2.4 	6.0 	-9.6 	160.5 	2.4 	2.1 	-8.4 	23.3 	0.8 	1.0 	32.6 	4.5 	35.1 	
120.3 	55.7 	51.1 	8.7 	3.6 	-3.1 	191.5 	22.5 	1.6 	5.1 	-10.3 	164.1 	0.9 	2.3 	-8.6 	23.3 	0.8 	1.0 	32.8 	4.6 	34.8 	
121.1 	59.2 	50.1 	9.3 	3.0 	-2.8 	192.5 	28.4 	1.6 	5.2 	-9.2 	168.0 	1.9 	1.8 	-7.7 	23.4 	0.8 	0.6 	32.5 	4.7 	34.6 	
120.2 	57.4 	51.3 	8.7 	3.0 	-3.0 	188.0 	25.0 	2.3 	5.8 	-10.2 	165.4 	2.1 	1.5 	-7.2 	23.3 	0.7 	1.0 	32.7 	4.5 	35.0 	
119.3 	57.5 	50.6 	9.3 	3.3 	-3.2 	190.6 	25.9 	3.0 	5.5 	-9.4 	164.6 	2.5 	2.2 	-8.1 	23.3 	0.8 	0.9 	32.6 	4.4 	35.1 	
118.0 	56.7 	49.9 	8.8 	3.2 	-3.0 	191.8 	26.5 	2.6 	5.1 	-10.4 	165.7 	1.9 	1.7 	-7.7 	23.2 	0.9 	0.9 	32.9 	4.5 	35.1 	
