C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
104.0 	51.8 	44.3 	6.2 	0.1 	-0.8 	196.6 	11.7 	-2.1 	-5.4 	-9.7 	171.9 	-0.1 	7.0 	-5.7 	22.9 	-0.9 	-3.7 	32.9 	2.3 	35.5 	
104.8 	51.3 	42.8 	6.3 	-0.2 	-0.8 	190.3 	16.9 	-2.3 	-4.5 	-9.1 	175.3 	-0.2 	7.1 	-5.6 	22.9 	-1.0 	-3.6 	33.3 	2.0 	35.6 	
104.2 	49.7 	43.1 	6.2 	0.3 	-0.4 	209.3 	9.5 	-2.9 	-4.7 	-9.9 	172.2 	0.1 	7.0 	-5.9 	22.9 	-0.9 	-3.7 	33.2 	2.1 	35.6 	
104.7 	52.0 	43.3 	6.4 	0.1 	-0.5 	200.2 	12.3 	-2.9 	-4.9 	-8.8 	171.0 	-0.3 	7.0 	-5.6 	22.9 	-1.0 	-3.7 	33.2 	2.2 	35.7 	
106.4 	53.4 	44.3 	6.5 	0.8 	-1.0 	202.8 	13.3 	-2.3 	-5.3 	-9.2 	173.0 	-0.7 	6.6 	-5.3 	22.8 	-1.0 	-3.7 	33.0 	2.2 	35.7 	
105.1 	54.5 	45.0 	6.7 	-0.0 	-0.9 	199.0 	17.4 	-2.8 	-3.8 	-9.8 	174.9 	-0.1 	6.6 	-6.0 	22.9 	-1.1 	-3.7 	33.1 	2.1 	35.5 	
104.5 	50.4 	44.6 	6.1 	0.4 	-0.8 	202.8 	10.4 	-2.2 	-6.1 	-10.3 	170.6 	-0.4 	7.3 	-4.8 	22.9 	-1.1 	-3.9 	32.8 	2.2 	35.6 	
103.9 	48.2 	41.6 	6.4 	0.5 	-1.0 	204.4 	15.6 	-2.6 	-5.2 	-9.8 	173.1 	-0.8 	6.8 	-6.4 	22.9 	-1.0 	-3.9 	32.8 	2.0 	35.7 	
103.3 	51.4 	42.4 	6.7 	-0.1 	-1.2 	205.1 	16.5 	-2.0 	-4.2 	-9.8 	170.2 	-0.1 	6.6 	-5.8 	23.0 	-1.0 	-3.8 	33.0 	2.3 	35.8 	
104.8 	51.1 	43.9 	6.8 	0.1 	-0.3 	202.7 	10.3 	-2.8 	-4.9 	-9.5 	168.7 	-0.5 	7.7 	-5.4 	22.9 	-1.0 	-3.7 	33.1 	1.8 	35.7 	
105.0 	54.5 	44.5 	6.5 	-0.3 	-0.4 	198.3 	17.2 	-2.2 	-5.2 	-10.2 	173.8 	-0.3 	7.3 	-5.5 	23.0 	-1.0 	-3.7 	33.0 	2.1 	35.6 	
104.8 	49.2 	44.3 	6.5 	-0.1 	-0.8 	204.2 	18.5 	-2.2 	-4.2 	-10.5 	168.7 	-0.7 	7.1 	-5.9 	22.9 	-0.9 	-3.9 	33.0 	1.8 	35.7 	
105.0 	52.2 	44.3 	6.4 	0.1 	-0.7 	201.1 	16.9 	-2.5 	-4.9 	-10.0 	169.7 	-0.6 	7.3 	-5.9 	22.9 	-0.9 	-3.9 	33.0 	2.4 	35.6 	
105.4 	52.5 	46.9 	6.4 	0.2 	-0.8 	202.9 	14.6 	-1.8 	-4.8 	-10.6 	166.0 	-0.9 	6.9 	-5.7 	22.9 	-1.1 	-3.8 	33.3 	2.0 	35.6 	
104.5 	49.3 	42.9 	6.5 	0.3 	-0.9 	200.1 	14.8 	-2.6 	-4.8 	-10.9 	174.5 	-0.2 	7.1 	-5.8 	22.9 	-1.0 	-3.8 	33.0 	2.0 	35.5 	
