C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
109.5 	52.6 	40.0 	7.6 	1.6 	-7.8 	185.9 	23.7 	-3.2 	0.9 	-7.1 	163.5 	0.4 	2.0 	1.1 	22.2 	0.2 	1.5 	33.1 	2.9 	36.6 	
108.7 	54.4 	42.7 	7.3 	1.3 	-7.9 	185.0 	21.9 	-2.6 	0.7 	-7.2 	162.3 	0.6 	2.3 	0.6 	22.2 	0.2 	1.4 	33.1 	2.7 	36.5 	
109.4 	53.8 	41.2 	7.4 	1.2 	-7.8 	185.5 	21.2 	-2.6 	0.3 	-6.4 	165.8 	0.2 	2.3 	0.8 	22.3 	0.2 	1.5 	33.1 	2.7 	36.8 	
110.2 	52.9 	41.9 	7.7 	1.2 	-7.6 	184.7 	22.4 	-3.0 	0.5 	-6.7 	163.1 	0.3 	2.6 	1.3 	22.1 	0.2 	1.4 	33.0 	2.7 	37.0 	
111.0 	53.5 	43.1 	7.5 	1.3 	-7.7 	186.4 	20.1 	-3.0 	0.3 	-7.5 	164.5 	0.4 	2.3 	0.6 	22.3 	0.2 	1.4 	33.1 	2.8 	37.0 	
110.6 	53.3 	43.8 	7.6 	1.0 	-8.1 	185.4 	20.3 	-2.7 	0.9 	-7.1 	163.4 	0.0 	3.0 	1.0 	22.2 	0.1 	1.4 	33.0 	2.6 	36.6 	
109.8 	53.1 	44.5 	7.8 	1.1 	-7.7 	186.2 	22.0 	-3.0 	0.5 	-6.8 	164.5 	0.0 	2.6 	1.2 	22.2 	0.2 	1.5 	33.2 	2.8 	36.9 	
109.9 	52.4 	41.2 	7.5 	1.1 	-7.1 	184.9 	25.4 	-3.0 	1.5 	-7.1 	162.5 	-0.2 	2.0 	0.8 	22.1 	0.1 	1.4 	33.0 	2.8 	36.8 	
108.9 	53.3 	42.5 	7.6 	1.3 	-7.2 	185.8 	23.4 	-3.0 	1.1 	-6.7 	163.6 	0.5 	2.5 	0.7 	22.1 	0.3 	1.4 	32.9 	2.6 	37.0 	
108.5 	53.6 	43.3 	7.9 	1.2 	-7.4 	187.0 	26.1 	-3.1 	0.9 	-6.1 	162.8 	-0.5 	2.7 	0.9 	22.2 	0.2 	1.4 	33.1 	2.6 	36.5 	
110.4 	53.2 	42.8 	7.5 	1.5 	-7.8 	185.1 	21.4 	-3.3 	1.1 	-7.3 	162.6 	0.6 	2.8 	0.5 	22.2 	0.2 	1.4 	33.2 	2.7 	36.9 	
110.3 	53.4 	40.9 	7.3 	1.1 	-7.9 	184.0 	23.2 	-3.2 	0.2 	-7.1 	163.3 	0.5 	2.1 	1.2 	22.2 	0.2 	1.4 	33.2 	2.9 	36.7 	
107.8 	53.0 	42.6 	7.7 	1.3 	-7.9 	184.1 	22.8 	-2.7 	1.2 	-6.9 	164.1 	-0.1 	2.3 	1.1 	22.2 	0.3 	1.4 	33.1 	2.9 	37.1 	
109.7 	53.2 	42.4 	7.5 	1.2 	-7.7 	184.9 	22.2 	-2.7 	0.5 	-6.3 	163.9 	0.1 	2.1 	0.9 	22.3 	0.3 	1.4 	33.0 	2.8 	37.0 	
109.1 	53.3 	43.7 	7.6 	1.4 	-7.6 	182.8 	22.1 	-2.3 	1.0 	-6.6 	164.1 	0.6 	2.5 	0.5 	22.2 	0.2 	1.4 	33.1 	2.9 	36.9 	
