C11 	C12 	C13 	C14 	C15 	C16 	C22 	C23 	C24 	C25 	C26 	C33 	C34 	C35 	C36 	C44 	C45 	C46 	C55 	C56 	C66
122.0 	52.0 	41.9 	9.5 	2.6 	-10.5 	195.6 	15.3 	0.6 	4.6 	-3.1 	170.6 	-0.2 	3.6 	0.1 	24.1 	0.6 	0.3 	35.5 	3.3 	37.3 	
121.4 	52.7 	40.1 	8.9 	1.6 	-9.9 	193.3 	17.7 	1.3 	4.1 	-3.1 	170.2 	-1.3 	2.8 	-0.7 	24.0 	0.8 	0.3 	35.5 	3.2 	36.9 	
118.5 	54.2 	40.3 	9.2 	2.5 	-10.7 	195.3 	19.1 	1.7 	2.5 	-3.6 	167.9 	-0.7 	2.5 	-0.8 	23.9 	0.7 	0.3 	35.7 	3.1 	37.4 	
123.6 	55.0 	40.4 	9.0 	2.3 	-9.2 	192.1 	15.2 	0.9 	2.1 	-3.3 	170.8 	-0.6 	2.9 	-0.4 	24.1 	0.7 	0.1 	35.4 	3.0 	37.0 	
116.8 	55.6 	40.2 	8.9 	1.9 	-10.0 	192.5 	16.7 	1.2 	4.1 	-0.2 	175.2 	-1.1 	1.3 	-0.9 	23.9 	0.7 	0.3 	35.7 	3.2 	37.4 	
119.9 	54.8 	40.7 	9.2 	2.3 	-10.2 	193.1 	15.3 	1.8 	2.8 	-4.1 	171.0 	-1.1 	2.9 	-0.8 	24.1 	0.9 	0.3 	35.3 	3.2 	37.5 	
118.0 	56.2 	41.3 	9.2 	3.4 	-10.0 	190.6 	15.3 	1.3 	3.2 	-1.6 	169.9 	-1.1 	2.1 	-1.1 	24.0 	0.6 	0.2 	35.4 	2.9 	37.3 	
118.5 	55.2 	40.6 	8.5 	1.2 	-9.8 	193.7 	13.8 	0.6 	2.8 	-1.8 	169.6 	-0.6 	0.9 	-0.5 	24.0 	0.7 	0.3 	35.7 	3.2 	37.5 	
118.5 	52.4 	40.8 	9.4 	2.6 	-10.0 	191.1 	17.7 	1.8 	4.0 	-3.5 	172.2 	-1.4 	1.6 	-0.4 	24.0 	0.9 	0.2 	35.2 	3.2 	37.4 	
121.2 	55.2 	41.6 	9.9 	3.1 	-10.0 	196.0 	19.9 	1.4 	4.6 	-1.2 	171.2 	-1.3 	3.1 	0.4 	24.1 	0.7 	0.2 	35.6 	2.8 	37.1 	
119.3 	53.7 	40.9 	9.3 	1.7 	-9.8 	192.6 	11.5 	0.9 	3.3 	-2.8 	173.9 	-0.7 	3.1 	-0.5 	24.0 	0.6 	0.3 	35.8 	3.1 	37.1 	
120.0 	52.8 	39.3 	9.4 	1.5 	-10.3 	194.6 	16.6 	0.5 	2.7 	-2.4 	172.0 	-0.6 	2.9 	-0.3 	24.1 	0.8 	0.5 	35.5 	3.3 	37.2 	
119.1 	53.7 	41.0 	9.0 	1.9 	-9.0 	192.7 	18.2 	0.9 	3.2 	-2.7 	165.3 	-1.0 	2.6 	-1.3 	23.9 	0.8 	0.2 	35.5 	3.2 	37.7 	
124.8 	57.7 	44.3 	9.2 	1.8 	-9.9 	194.6 	15.8 	0.9 	3.6 	-1.7 	170.8 	-1.7 	1.3 	0.2 	24.1 	0.7 	0.3 	35.4 	3.4 	36.9 	
122.0 	53.9 	38.8 	8.8 	2.3 	-9.7 	194.6 	18.8 	0.5 	2.9 	-4.2 	174.3 	-0.3 	2.0 	-1.3 	24.0 	0.8 	0.4 	35.5 	3.3 	37.0 	
